method,stage,adapter_eval_mode,layer,module,pretrained_top_k,top_k,epsilon,num_intruders,mean_max_similarity
stacked_lora,siqa,all,15,q_proj,150,150,0.8,0,0.9997653961181641
stacked_lora,siqa,all,15,v_proj,150,150,0.8,0,0.9988805055618286
stacked_lora,siqa,all,15,up_proj,150,150,0.8,0,0.9990474581718445
stacked_lora,siqa,all,15,down_proj,150,150,0.8,0,0.9996738433837891
stacked_lora,sst2,all,0,q_proj,150,150,0.8,0,0.9994627833366394
stacked_lora,sst2,all,0,v_proj,150,150,0.8,0,0.993070662021637
stacked_lora,sst2,all,0,up_proj,150,150,0.8,0,0.9944473505020142
stacked_lora,sst2,all,0,down_proj,150,150,0.8,0,0.9964926242828369
stacked_lora,sst2,all,8,q_proj,150,150,0.8,0,0.9994007349014282
stacked_lora,sst2,all,8,v_proj,150,150,0.8,0,0.9901387691497803
stacked_lora,sst2,all,8,up_proj,150,150,0.8,0,0.9919283986091614
stacked_lora,sst2,all,8,down_proj,150,150,0.8,0,0.9990526437759399
stacked_lora,sst2,all,15,q_proj,150,150,0.8,0,0.9998490214347839
stacked_lora,sst2,all,15,v_proj,150,150,0.8,0,0.9991534352302551
stacked_lora,sst2,all,15,up_proj,150,150,0.8,0,0.9992274045944214
stacked_lora,sst2,all,15,down_proj,150,150,0.8,0,0.9997740387916565
stacked_lora,winogrande,all,0,q_proj,150,150,0.8,0,0.9991129636764526
stacked_lora,winogrande,all,0,v_proj,150,150,0.8,0,0.9889542460441589
stacked_lora,winogrande,all,0,up_proj,150,150,0.8,2,0.9904049634933472
stacked_lora,winogrande,all,0,down_proj,150,150,0.8,2,0.9946730732917786
stacked_lora,winogrande,all,8,q_proj,150,150,0.8,0,0.9991417527198792
stacked_lora,winogrande,all,8,v_proj,150,150,0.8,3,0.9816721677780151
stacked_lora,winogrande,all,8,up_proj,150,150,0.8,0,0.991293728351593
stacked_lora,winogrande,all,8,down_proj,150,150,0.8,0,0.998897910118103
stacked_lora,winogrande,all,15,q_proj,150,150,0.8,0,0.9997325539588928
stacked_lora,winogrande,all,15,v_proj,150,150,0.8,0,0.9987715482711792
stacked_lora,winogrande,all,15,up_proj,150,150,0.8,0,0.9991122484207153
stacked_lora,winogrande,all,15,down_proj,150,150,0.8,0,0.9996100068092346
