stage,layer,module,module_path,epsilon,lambda_scale,lambda_options,num_singular_vectors,num_intruders,intruder_fraction,mean_max_similarity,min_max_similarity,correction_frobenius_norm
qqp,10,up_proj,layers.10.mlp.up_proj,0.7,0.5,"[0.0, 0.5]",2048,0,0.0,0.9627706408500671,0.7005272507667542,0.0
qqp,10,down_proj,layers.10.mlp.down_proj,0.7,0.5,"[0.0, 0.5]",2048,6,0.0029296875,0.96406090259552,0.5889107584953308,1.5550556182861328
qqp,11,q_proj,layers.11.self_attn.q_proj,0.7,0.5,"[0.0, 0.5]",2048,17,0.00830078125,0.9569693803787231,0.634938657283783,0.3261477053165436
qqp,11,v_proj,layers.11.self_attn.v_proj,0.7,0.5,"[0.0, 0.5]",512,0,0.0,0.9872455596923828,0.8157942891120911,0.0
qqp,11,up_proj,layers.11.mlp.up_proj,0.7,0.5,"[0.0, 0.5]",2048,1,0.00048828125,0.9701511859893799,0.6996427774429321,0.5195163488388062
qqp,11,down_proj,layers.11.mlp.down_proj,0.7,0.5,"[0.0, 0.5]",2048,0,0.0,0.9690280556678772,0.7020049095153809,0.0
qqp,12,q_proj,layers.12.self_attn.q_proj,0.7,0.5,"[0.0, 0.5]",2048,22,0.0107421875,0.9605343341827393,0.5476776957511902,0.19673535227775574
qqp,12,v_proj,layers.12.self_attn.v_proj,0.7,0.5,"[0.0, 0.5]",512,0,0.0,0.9889819622039795,0.7614299058914185,0.0
qqp,12,up_proj,layers.12.mlp.up_proj,0.7,0.5,"[0.0, 0.5]",2048,0,0.0,0.9769524335861206,0.7051870822906494,0.0
qqp,12,down_proj,layers.12.mlp.down_proj,0.7,0.5,"[0.0, 0.5]",2048,3,0.00146484375,0.9747366309165955,0.6496920585632324,1.3887405395507812
qqp,13,q_proj,layers.13.self_attn.q_proj,0.7,0.5,"[0.0, 0.5]",2048,19,0.00927734375,0.9580737352371216,0.598536491394043,0.8348617553710938
qqp,13,v_proj,layers.13.self_attn.v_proj,0.7,0.5,"[0.0, 0.5]",512,0,0.0,0.9906700849533081,0.7079436182975769,0.0
qqp,13,up_proj,layers.13.mlp.up_proj,0.7,0.5,"[0.0, 0.5]",2048,1,0.00048828125,0.9765908122062683,0.6643210053443909,0.9161197543144226
qqp,13,down_proj,layers.13.mlp.down_proj,0.7,0.5,"[0.0, 0.5]",2048,0,0.0,0.9773268699645996,0.7060286402702332,0.0
qqp,14,q_proj,layers.14.self_attn.q_proj,0.7,0.5,"[0.0, 0.5]",2048,66,0.0322265625,0.9410560131072998,0.5360469222068787,0.4546092450618744
qqp,14,v_proj,layers.14.self_attn.v_proj,0.7,0.5,"[0.0, 0.5]",512,0,0.0,0.9962173700332642,0.82378089427948,0.0
qqp,14,up_proj,layers.14.mlp.up_proj,0.7,0.5,"[0.0, 0.5]",2048,1,0.00048828125,0.9817242622375488,0.6983957290649414,0.6259289979934692
qqp,14,down_proj,layers.14.mlp.down_proj,0.7,0.5,"[0.0, 0.5]",2048,0,0.0,0.98015296459198,0.7179796695709229,0.0
qqp,15,q_proj,layers.15.self_attn.q_proj,0.7,0.5,"[0.0, 0.5]",2048,97,0.04736328125,0.9308418035507202,0.5220566987991333,0.32277911901474
qqp,15,v_proj,layers.15.self_attn.v_proj,0.7,0.5,"[0.0, 0.5]",512,0,0.0,0.9949678182601929,0.7076259851455688,0.0
qqp,15,up_proj,layers.15.mlp.up_proj,0.7,0.5,"[0.0, 0.5]",2048,2,0.0009765625,0.9790037870407104,0.6638535261154175,0.8997625112533569
qqp,15,down_proj,layers.15.mlp.down_proj,0.7,0.5,"[0.0, 0.5]",2048,3,0.00146484375,0.9771320223808289,0.6058900952339172,1.0219160318374634
sst2,0,q_proj,layers.0.self_attn.q_proj,0.7,0.5,"[0.0, 0.5]",2048,203,0.09912109375,0.8985596895217896,0.3442550301551819,0.801688551902771
sst2,0,v_proj,layers.0.self_attn.v_proj,0.7,0.5,"[0.0, 0.5]",512,39,0.076171875,0.8723815083503723,0.5406450033187866,0.867522656917572
sst2,0,up_proj,layers.0.mlp.up_proj,0.7,0.5,"[0.0, 0.5]",2048,176,0.0859375,0.8612029552459717,0.5311021208763123,9.145456314086914
sst2,0,down_proj,layers.0.mlp.down_proj,0.7,0.5,"[0.0, 0.5]",2048,280,0.13671875,0.8402391076087952,0.5010205507278442,12.15588092803955
sst2,1,q_proj,layers.1.self_attn.q_proj,0.7,0.5,"[0.0, 0.5]",2048,236,0.115234375,0.8874868154525757,0.4233342409133911,1.1900393962860107
sst2,1,v_proj,layers.1.self_attn.v_proj,0.7,0.5,"[0.0, 0.5]",512,29,0.056640625,0.8759962320327759,0.5570383667945862,1.1090984344482422
sst2,1,up_proj,layers.1.mlp.up_proj,0.7,0.5,"[0.0, 0.5]",2048,184,0.08984375,0.8575959205627441,0.5045743584632874,10.095884323120117
sst2,1,down_proj,layers.1.mlp.down_proj,0.7,0.5,"[0.0, 0.5]",2048,184,0.08984375,0.8681504130363464,0.49732354283332825,9.892026901245117
sst2,2,q_proj,layers.2.self_attn.q_proj,0.7,0.5,"[0.0, 0.5]",2048,216,0.10546875,0.8932286500930786,0.42047441005706787,1.0256845951080322
sst2,2,v_proj,layers.2.self_attn.v_proj,0.7,0.5,"[0.0, 0.5]",512,10,0.01953125,0.9159485697746277,0.597449004650116,0.741416335105896
sst2,2,up_proj,layers.2.mlp.up_proj,0.7,0.5,"[0.0, 0.5]",2048,200,0.09765625,0.8585231304168701,0.5084136724472046,10.225330352783203
sst2,2,down_proj,layers.2.mlp.down_proj,0.7,0.5,"[0.0, 0.5]",2048,151,0.07373046875,0.8753032088279724,0.516275942325592,8.4160795211792
sst2,3,q_proj,layers.3.self_attn.q_proj,0.7,0.5,"[0.0, 0.5]",2048,166,0.0810546875,0.9001725316047668,0.4750075936317444,1.1544928550720215
sst2,3,v_proj,layers.3.self_attn.v_proj,0.7,0.5,"[0.0, 0.5]",512,20,0.0390625,0.9176586866378784,0.5969026684761047,1.1372181177139282
sst2,3,up_proj,layers.3.mlp.up_proj,0.7,0.5,"[0.0, 0.5]",2048,215,0.10498046875,0.8558407425880432,0.4894391894340515,9.803218841552734
sst2,3,down_proj,layers.3.mlp.down_proj,0.7,0.5,"[0.0, 0.5]",2048,152,0.07421875,0.8719401955604553,0.5083324313163757,7.964573860168457
sst2,4,q_proj,layers.4.self_attn.q_proj,0.7,0.5,"[0.0, 0.5]",2048,249,0.12158203125,0.8837020397186279,0.4584561288356781,1.4150967597961426
sst2,4,v_proj,layers.4.self_attn.v_proj,0.7,0.5,"[0.0, 0.5]",512,14,0.02734375,0.914781391620636,0.5764282941818237,1.0613369941711426
sst2,4,up_proj,layers.4.mlp.up_proj,0.7,0.5,"[0.0, 0.5]",2048,204,0.099609375,0.8576939105987549,0.4906776547431946,9.423871040344238
sst2,4,down_proj,layers.4.mlp.down_proj,0.7,0.5,"[0.0, 0.5]",2048,144,0.0703125,0.8754589557647705,0.5218440890312195,7.735883712768555
sst2,5,q_proj,layers.5.self_attn.q_proj,0.7,0.5,"[0.0, 0.5]",2048,410,0.2001953125,0.8530626893043518,0.3569295406341553,1.500625729560852
sst2,5,v_proj,layers.5.self_attn.v_proj,0.7,0.5,"[0.0, 0.5]",512,21,0.041015625,0.8992468118667603,0.5862241983413696,0.9193098545074463
sst2,5,up_proj,layers.5.mlp.up_proj,0.7,0.5,"[0.0, 0.5]",2048,130,0.0634765625,0.8765899538993835,0.5111030340194702,7.618654727935791
sst2,5,down_proj,layers.5.mlp.down_proj,0.7,0.5,"[0.0, 0.5]",2048,124,0.060546875,0.8900130987167358,0.5652468800544739,6.915757656097412
sst2,6,q_proj,layers.6.self_attn.q_proj,0.7,0.5,"[0.0, 0.5]",2048,351,0.17138671875,0.8629896640777588,0.4145788848400116,1.524449110031128
sst2,6,v_proj,layers.6.self_attn.v_proj,0.7,0.5,"[0.0, 0.5]",512,5,0.009765625,0.9349949359893799,0.6672510504722595,0.540878176689148
sst2,6,up_proj,layers.6.mlp.up_proj,0.7,0.5,"[0.0, 0.5]",2048,121,0.05908203125,0.8875399231910706,0.5418968796730042,7.031877040863037
sst2,6,down_proj,layers.6.mlp.down_proj,0.7,0.5,"[0.0, 0.5]",2048,108,0.052734375,0.8971846103668213,0.5432851910591125,6.530657768249512
sst2,7,q_proj,layers.7.self_attn.q_proj,0.7,0.5,"[0.0, 0.5]",2048,337,0.16455078125,0.863706648349762,0.40215829014778137,1.396124243736267
sst2,7,v_proj,layers.7.self_attn.v_proj,0.7,0.5,"[0.0, 0.5]",512,4,0.0078125,0.9567764401435852,0.6553480625152588,0.37630441784858704
sst2,7,up_proj,layers.7.mlp.up_proj,0.7,0.5,"[0.0, 0.5]",2048,71,0.03466796875,0.9083732962608337,0.555819571018219,5.50147819519043
sst2,7,down_proj,layers.7.mlp.down_proj,0.7,0.5,"[0.0, 0.5]",2048,32,0.015625,0.9214411377906799,0.5728700757026672,3.7551724910736084
sst2,8,q_proj,layers.8.self_attn.q_proj,0.7,0.5,"[0.0, 0.5]",2048,259,0.12646484375,0.8853919506072998,0.44357195496559143,1.1901479959487915
sst2,8,v_proj,layers.8.self_attn.v_proj,0.7,0.5,"[0.0, 0.5]",512,4,0.0078125,0.9510858058929443,0.6307217478752136,0.6435003876686096
sst2,8,up_proj,layers.8.mlp.up_proj,0.7,0.5,"[0.0, 0.5]",2048,42,0.0205078125,0.9241834282875061,0.5883378982543945,4.16849422454834
sst2,8,down_proj,layers.8.mlp.down_proj,0.7,0.5,"[0.0, 0.5]",2048,32,0.015625,0.9320818185806274,0.6163956522941589,3.5962579250335693
sst2,9,q_proj,layers.9.self_attn.q_proj,0.7,0.5,"[0.0, 0.5]",2048,174,0.0849609375,0.90837562084198,0.45548364520072937,0.8863922953605652
